cue,d_q,delta,delta_sd,delta_ci_lo,delta_ci_hi,n_pairs,n_clusters,n_generators,within_class_r,family,label
geometry_consistency,0.49655669841127165,0.013570379876774012,0.027328963480287974,0.011320784580226739,0.015650115904040446,1712,428,4,0.094003802788007,other,consistent geometry
contact_shadows,0.49433108583486646,0.015331140552638348,0.03101391150982519,0.012694579353962362,0.017974648147070123,1712,428,4,0.0763292673461732,other,strong contact shadows
lens_distortion,0.49282918649628676,0.011977162256223183,0.024302867168589305,0.010059342900221547,0.013848192882732988,1712,428,4,-0.0283827586022516,physics_optics,low distortion
exif_presence,0.4914208688059508,0.01316827538528393,0.0267963292183339,0.010921351715200839,0.015386889432718267,1712,428,4,0.0301301128600084,other,EXIF present
occlusion_logic,0.46711948329536024,0.010186420271010337,0.021806883753057782,0.008480210155915643,0.011907290304443194,1712,428,4,0.0959102813689901,other,correct occlusion order
shadow_softness,0.45918790566171896,0.012043080519854293,0.026226911404601233,0.009997420137335135,0.014205157682648292,1712,428,4,-0.0799239959460882,other,softness matches distance
medium_format_cues,0.4546238525622661,0.012283963510728774,0.02702005942164317,0.010304039090526998,0.014359671839311557,1712,428,4,0.0294622226150689,provenance_process,large sensor depth traits
minimalist_style,0.4497956428330736,0.013522689324301151,0.030064073629365144,0.01104060063525677,0.016048132504586962,1712,428,4,-0.0541881873134012,other,minimalist style
exposure_accuracy,0.4484547634635918,0.011058678026941627,0.024659517364764117,0.009063502206959128,0.013026062579198186,1712,428,4,0.1824472683185344,detail_texture,well exposed
matte_edges,0.44670734265544304,0.011821880004860173,0.026464485527784787,0.009638827801828542,0.013984592277733849,1712,428,4,0.1983573434666311,other,clean matte edges
shadow_consistency,0.44203631074587435,0.010495741292900582,0.02374407042532431,0.00865923842612217,0.012306385994888227,1712,428,4,0.1051788618216228,other,"consistent shadow
direction"
large_format_cues,0.42601676608193373,0.012792863775723723,0.03002901480469746,0.010357891076314902,0.015261024672675962,1712,428,4,0.0394941562908926,provenance_process,"extreme detail and plane
control"
vignetting,0.42538963018973835,0.00976658246594563,0.022959145622777406,0.007909474452913715,0.011542711897504833,1712,428,4,0.0655714532053007,physics_optics,subtle vignetting
skin_tone,0.41596173484162635,0.01140097697807675,0.02740871580992316,0.009198509218035342,0.013635287749765045,1712,428,4,0.1695779719303776,tone_color,healthy skin tones
time_of_day_coherence,0.40736580256019295,0.010425395354330723,0.02559222028164785,0.008435163603252426,0.01245753687441079,1712,428,4,-0.0623466301006859,other,"time cues match sky and
shadows"
desaturation,0.39705661241375534,0.010032438786576727,0.02526702357527385,0.008114328388472336,0.012140294466303892,1712,428,4,0.1577257544873332,tone_color,rich color presence
hue_consistency,0.3964903677105617,0.008248892403541767,0.020804773773378187,0.0065499323671118544,0.009822271220899419,1712,428,4,0.1824915271948846,tone_color,stable hues
vignette_edit,0.3945262240101429,0.008872496889967375,0.022488991478901717,0.00710986363379013,0.010662806655953209,1712,428,4,0.0841408475143923,detail_texture,tasteful vignette
leading_lines,0.3855501711892272,0.009784936236647494,0.025379151580884836,0.007712938208847498,0.011777180985816793,1712,428,4,0.1127552746340516,detail_texture,strong leading lines
bloom,0.38033039996201135,0.01021109288943571,0.02684795349111096,0.008181942726883487,0.012302460214517747,1712,428,4,-0.0671976292841261,detail_texture,"naturalistic highlight
glow"
atmospheric_haze,0.3803059113310945,0.010958487138951551,0.028814927174274415,0.008682248258728832,0.01338773282429573,1712,428,4,0.0454273141212775,detail_texture,depth graded haze
